keys,en,ru
DID,Did,Дид
RAY,Ray,Рей
ROCK,Rock,Рок
L2_1R,"Did, there are strange alive creatures","Дид, тут находятся какие-то странные, живые создания"
L2_2D,You see monsters before your eyes?,Вы видите монстров перед собой?
L2_3R,Eyes just running low,Просто глаза разбегаются
L2_4D,"Say hello, to Panacea work","Знакомьтесь, работа Панацеи"
L2_5R,Pana-what?,Пана-чего?
L2_6D,Mixture to got the immortality. It's just failed examples,"Препарата, созданного для обретения бессмертия. А это лишь неудачные образцы"
L2_6K,"Duuuh, have some feeling what we need to work at it...","Мдааа, чувствую нам еще придется ""поработать"" над этим..."
W4_0R,"We'll see later, poisonous thing...",Мы еще поквитаемся ядовитое отродье...
L5_1D,"Hello everyone, I need to tell you...","Привет всем, тут такое дело..."
L5_2K,"Stop silly games, speak clear","Да хорош тянуть, выкладывай давай"
L5_3D,You're fired,Вы уволены
L5_4K,And what's your excuse? ,И на каком основании?
L5_5D,"I being fired, can't fire tech keep security properly","Так меня уволили, за несоблюдение техники пожарного хранения безопасности"
L5_6K,Ha! You shouldn't be fired for that nonsense. You wait till we return...,"Ха! За такое не увольняют. Вот ты подожди, мы вернемся..."
L5_7D,"Well, if you guilty of man translating to the dust then moving to the jail, you may be actually fired","Ну если человек по твоей вине превращается в пепел и переносится в места недалекие, то еще как"
L5_8R,And who will tell them about that?,А кто им об этом скажет?
L6_1D,"Focus on the mission, artifact hadn't necessary info","Сосредоточьтесь на миссии, тот артефакт не содержал нужные нам сведения"
L6_2R,"We are already moving in, cap","Мы уже двигаемся вглубь, кэп"
L7_1R,"All that movements about panacea, too suspiciously","Вся эта движуха с панацеей, как-то подозрительно..."
L7_2K,"It's that we are only inadequate staff, seeking to die?","То что мы из всех кадров единственные неадекваты, готовые погибнуть?"
L7_3R,We are being assigned here with restructuring right before our backs,Нас прежде прочего отправили сюда пока за нами разворачивается перестройка
L7_4K,"Even if so, we can't make anything out of it, so enjoy the time","Если и так, то мы все равно на это никак не повлияем, так что, лови удовольствие в моменте"
L7_5R,Well said,И то верно
L9_1R,"Found the whip, probably left behind by other researcher","Нашли кнут, возможно оставленный бывшим исследователем"
L9_2D,"It doesn't appear in our inventarization program, so you may have it","В инвентаризацию это у нас не входит, так что можешь оставить себе"
L9_3K,"Listen, Ray, shoot your fire here, it won't get even worse","Слушай, Рей, ударь тут своим кремнем, хуже точно уже не будет"
L10_1K,"If only I know what we will go around such an ice, I would brought the iron","Если бы я только знал, что будем ходить вокруг да около тонкого льда, притащил бы лом"
L10_2R,I don't understand one thing. Are we out of commercial? How will we buy some food?,Одно не понятно. Мы вне коммерции? Чем мы будем зарабатывать себе на хлеб?
L10_3D,"Thank me, that you has work in the first place with such a world","Скажи спасибо, что в этом мире у тебя вообще есть работа"
L10_4K,"Starting again... Only took the right pose, they already screw us in","Ну начинается, только в позу встали, так сразу гайки завинчивают"
L10_5Q,Don't want to get your ass whooped for such talks?,А по одному месту за такие разговоры не хочешь?
L10_6K,And what you are going to do? Go after us?,"И что ты нам сделаешь, придешь за нами?"
L10_7Q,"Oh, I will go, and you see","О, еще как приду"
L10_8R,"Nice try, you and your smokeheads, whoever could it be will surely fall down after first obstacle","Попробуй, небось ты и твои балбесы, кем бы они не были, споткнутся здесь о первую же кочку"
L10_9Q,Ghrrr...,Гррр...
