keys,en,ru
N1,"In deep dream, Unknown has come","В глубоком сне, в величии предстал Незнакомец."
N2,He call for us,"Воззвав нас,"
N3,"and we fall on our knees,","пали мы ниц,"
N4,because we his children,"ведь мы дети его,"
N5,and he is our Father.,а он Отец наш.
N6,He tells us about,Он поведал нам о
N7,"this world,","мире сем,"
N8,because he is the Life.,ибо он и есть жизнь.
N9,The chosen souls,Душам избранным
N10,being granted,он вверил
N11,His,хранение Его
N12,greatest mysteries.,великих тайн.
N13,We call health influence as the,Присутствие жизненного влияния мы прозвали
N14,Aura and His gifts -,"аурой, а дары Его -"
N15,sacred Resource.,священнейшим Ресурсом.
N16,Sometime ago,Некоторое время назад
N17,"we created stone block,","мы создали блок из камня,"
N18,using a box,используя ящик
N19,as the sand form.,в качестве формы для песка.
N20,Using resource we were able,Воспользовавшись ресурсом мы смогли
N21,to control destructive,подчинить себе разрушительные
N22,elemental forces of,стихии
N23,"fire, water and thunder.","огня, воды и грозы."
N24,"We dug up the caves, but they were",Вырытые нами пещеры
N25,periodically freeze from inside.,периодически замерзали изнутри.
N26,To fight that,Для борьбы с этим
N27,we create the devices,"мы создали устройства,"
N28,able to conducting the Resource.,проводящие ресурс через себя.
N29,With that knowledge in mind,С этим знанием мы научились
N30,we direct that energy into our mech.,перенаправлять эту энергию в механизмы.
N31,One of the bricks,Один из кирпичей
N32,can be,можно было
N33,gathered to different,возить по земле в разные
N34,"directions,","стороны,"
N35,while other presses down,другой же продавливать в
N36,the ground.,землю.
N37,"With time passes by, we start gather blocks",Со временем мы стали возить блоки
N38,"to create Father temple on platforms,","для строительства храма Отца на платформах,"
N39,using His resource.,питаемых Его ресурсом.
N40,During the hard work we encounter,В ходе усердного строительства мы столкнулись
N41,"a horrific evil, polluting everything","с ужасным злом, оскверняющим всё,"
N42,it touches.,к чему оно притрагивается.
N43,Desert was filled up with monsters.,Пустыню заполонили монстры.
N44,We create challenges,Мы составили испытания
N45,to not let the polluted,для того чтобы не дать осквернённым
N46,get our souls and prepare chosen ones for His power.,завладеть нами и закалить достойных Его силы.
N47,Only chosen one can go,Лишь достойный сможет приблизиться
N48,"and fight me,","и сразиться со мной,"
N49,"as I known as Yarom,","Яромом,"
N50,the guardian of the Father will.,хранителем воли Отца.
B1,"Out pharaoh set to collect info about any corner of our mighty Empire. If you are reading this, the memory is still alive and we too","Наш фараон поставил собрать сведения о всех закоулках нашей могучей империи. Если вы читаете это, значит наша память жива и мы вместе с ней"
B2,Life seems to be simple. With right to live and be heard comes responsibility to survive and multiply. Our travelers use white cloth and hide in shadows to cool down,"Быт кажется делом нехитрым. Вместе с правом жить и быть услышанным потомками приходит обязанность выживать и давать потомство. Наши путешественники используют белую ткань и укрываются в тенях, чтобы быстрее остыть"
