keys,en,ru
AT0,Entry to the unknown,Вход в неизвестность
AD0,Did wasn't joking when he send us to somebody tomb with buried stones. Hope it won't cost us dearly...,"Дид разошелся не на шутку, раз отправил нас на поиски чьей-то древней могилы с зарытыми камнями. Надеюсь они того стоят..."
AT1,First obstacles,Первые препятствия
AD1,There are ledges and gaps before us that needs to be overcomed and it's only beginning,"Перед нами пропасти и выступы, которые стоит преодолеть и это только начало."
AT2,Task from the Ancient,Задачка от Древнего
AD2,The boxes are heavy enough to press the stone buttons and allow us in. Some stones free the road. We call it a lever.,"Ящики оказались достаточно тяжёлыми, чтобы зажать каменные пластины и пропустить нас внутрь. Некоторые выступающие камни освобождают дорогу. Мы прозвали их рычагами."
AT3,From that side,С той стороны
AD3,Step by step we make results in our research. We got some notes from that ancient age.,Постепенно исследования приносят свои плоды. До нас дошли послания тех лет.
AT4,Segments,Отсеки
AD4,There are quite a few locks and levers before the way. To access any of it we need agility and some wit.,"Перед нами несколько замков и переключателей, скрывающих путь. Для доступа к каждому пригодится ловкость и немного смекалки."
AT5,A wide heel,Широкая пята
AD5,It's important to define what to start with and don't skip anything.,Здесь важно определиться с чего начать и ничего не пропустить.
AT6,The stale air,Спертый воздух
AD6,I have chills from this place. I think sometimes it's quite useful to get some fresh air.,"От этого места мурашки по коже, иногда и правда полезно выйти, проветриться."
AT7,Instant transmission,Мгновенное перемещение
AD7,Did won't shut up for a second after he learned about that tech existence.,Узнав о существовании подобного вида устройств в руках предков Дид не утихал не на секунду.
AT8,Collection point,Точка сбора
AD8,"We have another cross road. There is a lever at the left side. It's important, I know.",Перед нами очередная развилка. Слева от нас рычаг. По любому за что-то важное отвечает.
AT9,Maze out of time,Лабиринт вне времени
AD9,"Learning about teleport mystery we encounter the strange title: entry, boomerang, blade, horseshoe, mallet, brick.","Изучая загадочные свойства телепортера, наткнулся на странную надпись: вход, бумеранг, лопасть, вытянутая подкова, молоточек, лежащая клюшка, кирпич."
AT10,Favorite toy,Любимая игрушка
AD10,"We found the traces of past researcher. The whip just peacefully lying here, while his owner not so peacefully running from something.","Обнаружены следы предыдущего исследователя - его кнут, который он по всей видимости обронил, удирая от чего-то."
AT11,Keep the head cold,Держать голову холодной
AD11,Being the leader makes a real case here. One time we need to melt the ice in the group and other time give the long helping hand.,"Помощь лидера команды как никогда кстати - где-то нужно растопить лёд в коллективе, где-то протянуть длинную руку помощи."
AT12,Flights of stairs,Лестничные пролёты
AD12,Pushing the boxes is hard task. But it's harder to push it right - up or down,"Толкать ящики - занятие трудоёмкое, но куда труднее понять куда - вверх или вниз."
AT13,Let it rain,Да будет дождь
AD13,Sometimes I think that box pressing the button is like a droplet lying in the pit,"Иногда кажется, что ящик, поставленный на пластину, словно капля, аккуратно устроившаяся в своей ямке."
AT14,By that side,По ту сторону
AD14,It is strange. Is the dungeon ground consisting of somekind metall to conduct the electricity?,"Удивительно, как вся поверхность этих подземелий содержит смесь из токопроводящих металлов."
AT15,Multi-approach,Мульти-подход
AD15,It's practical to make living with connection of shields. It really helps to extend the whole chain.,Заниматься проводкой при помощи щитков практично - это помогает удлинить общую цепь.
AT16,Possible precipitation in the form of pages,Возможны осадки в виде страниц
AD16,Some way will lead to something. Only need to know that to start with and where to go.,Каждый путь к чему-то приводит. Надо лишь определиться с чего начать и к чему прийти.
AT17,Water supply,Водопровод
AD17,"Let's go, down the tubes! Interesting, what will happen if we reconnect shields using torch.","Вперёд, вниз по трубам! Интересно, что будет если переподключить щитки с помощью факела."
AT18,The refrigerant,Хладагент
AD18,"Another, random sequence of levers and buttons. Hope we will soon go out of this freezer.","Очередная, случайно расставленная последовательность рычагов и кнопок. Надеюсь нас скоро вынут из этой морозилки."
AT19,New research,Новая разработка
AD19,I have strong feeling that I saw it somewhere before.,"У меня стойкое чувство, что я раньше где-то видел это место."
AT20,Voltage in the air,Напряжение в воздухе
AD20,The first possessed. Did told about them. But he is too strong...,"Первый одержимый, о них как-то рассказывал Дид. Но чтобы настолько сильный..."
AT21,What progress has come to...,До чего дошел прогресс...
AD21,It's mind blowing. Just ride on the platform. Impossible luxury a few levels before if you ask me.,Подумать только - сел на какую-то платформу и поехал. Непозволительная роскошь несколькими уровнями ранее.
AT22,Weights,Грузы
AD22,Specific platforms type enables the box transportation. Sounds nice when knowing about the gaps. Just don't get seasick.,"Определённый тип платформ поддерживает перевоз ящиков. Звучит полезно, учитывая пропасти. Лишь бы не укачало."
AT23,Babylon tower,Вавилонская башня
AD23,Any box movement comes with at cost. We either go forward or temple will become our last place.,"Каждое перемещение ящика чревато последствиями. Либо мы двигаемся вперёд, либо гробница станет нашей конечной точкой."
AT24,Rusty engine,Ржавый двигатель
AD24,Those chains can lead us to treasures and supplies. Only need to grab these properly.,"Протянутые цепи могут вести к сокровищам, важно лишь правильно перехватиться."
AT25,Camomile,Ромашка
