keys,en,ru
HMMT,Motion,Движение
HMMD,[p][b]🏃[/b] Use %s to move[/p][p]—[/p][p][b]🦶[/b]To perform leg based skill press %s[/p][p]—[/p][p][b]🚫 [/b] Can be prevented[/p],[p][b]🏃[/b] Для передвижения используйте %s[/p][p]—[/p][p][b]🦶[/b]Выполнение при-емов ногами проис-ходит по нажатию %s[/p][p]—[/p][p][b]🚫[/b] Можно потерять[/p]
HMJT,Jumps,Прыжки
HMJD,[p]  [i]🕳[/i]  Come near to the ledge to jump from it[/p][p]—[/p][p][b]⛳️[/b] Pay attention - you need to be on the same floor level to land[/p],"[p]  [i]🕳[/i]  Для прыжка подойдите к выступу вплотную, затем продолжайте идти[/p][p]—[/p][p][b]⛳️[/b] Обратите внима-ние: вы должны быть на той же высоте, что и место приземления[/p]"
HMBT,Boxes,Ящики
HMBD,[p][i]🙇[/i]Go along with the box to move it[/p][p]—[/p][p][b]🧲[/b]To start pull press and hold %s[/p][p]—[/p][p][b]📦[/b] There may be a hidden passage behind the box[/p],[p][i]🙇[/i]Для перемещения ящика встаньте перед ним и идите[/p][p]—[/p][p][b]🧲[/b]Чтобы начать тащить зажмите и не отпускайте %s[/p][p]—[/p][p][b]📦[/b] Сзади ящика может быть скрыт проход[/p]
HMLT,Ledges,Возвышенность
HMLD,[p][b]🕋[/b] You can jump on the ledge only if you on same level[/p][p]—[/p][p][b]🗻[/b] The brighter the area the higher you are[/p][p]—[/p][p][b]📦[/b] Climb up the places with the boxes help[/p],"[p][b]🕋[/b] Прыжок на выступ возможен только на том же уровне[/p][p]—[/p][p][b]🗻[/b] Чем светлее обла-сть, тем вы выше[/p][p]—[/p][p][b]📦[/b] Помогайте себе добраться до выступа ящиками[/p]"
HFGT,Fighting,Сражение
HFGD,"[p][b]🧩[/b]Fight with hand and leg combo, environment[/p][p]—[/p][p][i]⚔️[/i]Punch the enemy during direct hit for the counterstrike[/p][p]—[/p][p][b]😵[/b] Regroup the fallen party member and flee if necessary[/p]","[p][b]🧩[/b]Отбивайтесь комбо рук и ног, окружением[/p][p]—[/p][p][i]⚔️[/i]Бейте во время ат-аки врага для контр-удара[/p][p]—[/p][p][b]😵[/b] Подбирайте пав-ших в группу и отступ-айте если нужно[/p]"
HCMT,Consumables,Расходники
HCMD,[p][b]🧪[/b]Open the inventory with %s. Press %s on slot to use the item[/p][p]—[/p][p][i]🎒[/i]Move items - select first then other slot[/p],"[p][b]🧪[/b]Для использования откройте свой инвен-тарь %s и нажмите %s на предмете[/p][p]—[/p][p][i]🎒[/i]Перемещайте пред-меты выбрав один из слотов, затем другой слот[/p]"
HAAT,Action,Действие
HAAD,[p][b]🔓[/b] Act with the environment using %s[/p][p]—[/p][p][b]🙌[/b] It also allows you to perform hand skills[/p][p]—[/p][p][b]🚫[/b] Can be prevented[/p],[p][b]🔓[/b] Для взаимодейст-вия подойдите к пре-дмету и нажмите %s[/p][p]—[/p][p][b]🙌[/b] Это также позвол-яет выполнять прие-мы руками[/p][p]—[/p][p][b]🚫[/b] Можно потерять[/p]
HAFT,Fire,Пламя
HAFD,"[p][i]✨[/i]To initiate fire press %s[/p][p]—[/p][p][b]🧊[/b] Melts the ice if nearby, fires the torch-boxes[/p][p]—[/p][p][b]🔥[/b] Enables the fire element abilities[/p]","[p][i]✨[/i]Для искры пламени нажмите %s[/p][p]—[/p][p][b]🧊[/b] При подходе вплот-ную плавит лёд, зажи-гает фитили[/p][p]—[/p][p][b]🔥[/b] Открывает приемы стихии огня[/p]"
HAHT,Whip,Кнут
HAHD,[p][i]🎣[/i]You can pull up the pillar with %s press[/p][p]—[/p][p][b]⛓️[/b] Face the chain to pull it while you are hanging[/p],[p][i]🎣[/i]Вы можете подтя-нуться нажав %s перед столбом[/p][p]—[/p][p][b]⛓️[/b] Для подтягивания к другой цепи нужно ви-сеть лицом к ней на достаточном расстоя-нии[/p]
HAWT,Water,Вода
HAWD,"[p][b]🌧[/b] To rain use %s in the right place[/p][p]—[/p][p][b]🪫[/b]Conduct the current, store the charge and make a sliding[/p][p]—[/p][p][b]💧[/b] Enables the water element abilities[/p]","[p][b]🌧[/b] Для призыва тучи нажмите %s на нуж-ном месте[/p][p]—[/p][p][b]🪫[/b]Проводит ток и держит заряд, вызы-вает скольжение[/p][p]—[/p][p][b]💧[/b] Открывает приемы стихии воды[/p]"
HATT,Thunder,Гроза
HATD,"[p][b]🌩[/b] To charge the electrical shield press %s before it[/p][p]—[/p][p][b]💡[/b] Charges the puddles, paralyzes the enemy[/p][p]—[/p][p][b]⚡️[/b] Enables the thunder element abilities[/p]","[p][b]🌩[/b] Для подачи тока встаньте около щитка и нажмите %s[/p][p]—[/p][p][b]💡[/b] Заряжает лужи, сковывает врагов[/p][p]—[/p][p][b]⚡️[/b]Открывает приемы стихии молнии[/p]"
HAET,Explosion,Взрыв
HAED,[p][b]💥[/b] Hit the charged puddle with fire and whip to explode[/p][p]—[/p][p][b]🪨[/b] You can destroy the obstacles that way[/p][p]—[/p][p][b]🧱[/b] Walls prevent the shock wave[/p],[p][b]💥[/b] Для взрыва ударьте огненным кнутом по заряженной луже[/p][p]—[/p][p][b]🪨[/b] Так вы можете убрать препятствия[/p][p]—[/p][p][b]🧱[/b] Стены препятству-ют ударной волне[/p]
HRMT,Reason,Сознание
HRMD,[p][i]🤠[/i]To select the hero press %s[/p][p]—[/p][p] [i]👉[/i]Enables to control the character and his skills[/p][p]—[/p][p][b]💫[/b] Can be prevented[/p],"[p][i]🤠[/i]Чтобы сменить со-командника, нажмите %s[/p][p]—[/p][p] [i]👉[/i]Позволяет управ-лять героем и его спо-собностями[/p][p]—[/p][p][b]💫[/b] Можно потерять[/p]"
HRGT,Group,Группа
HRGD,[p][b]🧑‍🔧[/b] To split the party press %s on the same height[/p][p]—[/p][p][b]🕵️‍♂️[/b] Press %s again to regroup the party[/p][p]—[/p][p][b]🛣[/b]  Useful on crossroads[/p],[p][b]🧑‍🔧[/b] Для разделения команды нажмите %s на той же высоте[/p][p]—[/p][p][b]🕵️‍♂️[/b] Нажмите %s снова для общего сбора[/p][p]—[/p][p][b]🛣[/b]  Полезно использо-вать у развилок[/p]
HENT,Enemy,Противники
HEND,[p][b]🕷[/b] Your enemies ought to destroy you[/p][p]—[/p][p][b]✨[/b] You are the hope of this injured world[/p][p]—[/p][p][b]🔍[/b] Research the weak spots of every monster with analyze help[/p],[p][b]🕷[/b] Ваши враги норо-вят уничтожить вас[/p][p]—[/p][p][b]✨[/b] Вы надежда этого искалеченного мира[/p][p]—[/p][p][b]🔍[/b] Исследуйте слабые стороны каждого с по-мощью анализа[/p]
HART,Aura,Аура
HARD,[p][i]❤️‍🔥[/i]It's your shell preventing you from dying[/p][p]—[/p][p][i]🌡[/i]Its total capacity is shown in the inventory 1st flask[/p][p]—[/p][p][b]🫙[/b]Support the level above 0 with water and fluids[/p],[p][i]❤️‍🔥[/i]Оболочка предохра-няющая вас от гибели[/p][p]—[/p][p][i]🌡[/i]Общий запас отоб-ражается в виде 1-ой кол-бы в инвентаре[/p][p]—[/p][p][b][i]🫙[/i][/b]Поддерживайте уро-вень выше 0 водой и растворами[/p]
HRST,Resource,Ресурс
HRSD,[p][i]🩻[/i]The Transcendental connection of Guided with the world[/p][p]—[/p][p][i]🚹[/i]Your 2nd flask[/p][p]—[/p][p][b]💧[/b] Support the level with fluids to use the abilities[/p],[p][i]🩻[/i]Трансцендентная связь Движимого с миром [/p][p]—[/p][p][i]🚹[/i]Ваша вторая колба[/p][p]—[/p][p][b]💧[/b] Поддерживайте его уровень растворами для использования умений[/p]
HPST,Priorities,Приоритеты
HPSD,[p][i]🌟[/i]You can select one of three to grow in the right menu[/p][p]—[/p][p][i]📊[/i]Each one opens different abilities and improve your stats with experience gain[/p],[p][i]🌟[/i]Вы можете выбрать один из трех приори-тетов для развития в меню справа[/p][p]—[/p][p][i]📊[/i]При получении опыта каждый откры-вает разные навыки и увеличивает опреде-лённые показатели[/p]
HSTT,Stats,Показатели
HSTD,[p][i]📈[/i]Power and influence impacting the skills use[/p][p]—[/p][p][i]🔰[/i]Vitality and reaction make sure you are safe[/p][p]—[/p][p][i]🎩[/i] Each one depends on its own priority[/p],[p][i]📈[/i]Мощь и влияние отвечают за способ-ности[/p][p]—[/p][p][i]🔰[/i]Живучесть и реак-ция отвечают за вашу сохранность[/p][p]—[/p][p][i]🎩[/i] Каждый зависит от своего приоритета[/p]
HIMT,Items,Предметы
HIMD,[p]Use it to get various effects. Check the chests[/p][p]—[/p][p][i]🥉[/i]Consumables %s[/p][p]—[/p][p][i]🥈[/i]Equipment %s[/p][p]—[/p][p][i]🥇[/i]Accessory %s[/p][p]—[/p][p][b]💠[/b] Keys %s[/p],[p]Имеют свой эффект и лежат в сундуках[/p][p]—[/p][p][i]🥉[/i]Расходники[/p][p]—[/p][p][i]🥈[/i]Экипировка[/p][p]—[/p][p][i]🥇[/i]Оснастка[/p][p]—[/p][p][b]💠[/b] Ключи[/p]
HEQT,Equipment,Экипировка
HEQD,[p][b][i]🗡🛡🧥👖🥾[/i][/b] You can equip it with special inventory slots[/p][p]—[/p][p][i]🥈🥋[/i] Each type has its own effect[/p][p]—[/p][p][b]⬛[/b] [i]🗡[/i][b]🔫[/b] Some weapons occupy first slots to use[/p],[p][b][i]🗡🛡🧥👖🥾[/i][/b] Надева-ется через специаль-ные слоты снаряжения[/p][p]—[/p][p][i]🥈🥋[/i] У каждого типа свой эффект[/p][p]—[/p][p][b]⬛[/b] [i]🗡[/i][b]🔫[/b] Часть оружия используется на пер-вых ячейках[/p]
HAYT,Accessory,Оснастка
