keys,en,ru
A,A,А
R,R,Р
NA,???,???
WM,Melee,Ближний бой
WF,Firearm,Огнестрел
WR,Range,Дальнобойный
AC,Clothes,Одежда
AA,Armor,Броня
AR,The relic,Реликвия
PAS,%s% attack speed,%s% скорость атак
PBT,%s% burn time,%s% времени ожога
PDG,%s% damage,%s% урон
PRG,%s% range,%s% дальность
PRC,%s% resource cost,%s% расход ресурса
RP,Replenishment,Восстановление
RC,Recovery,Восполнение
PT,- poison time,- время яда
CT,- cough time,- время кашля
PX,x poison,x яд
CX,x cough,х кашель
CP,Creates the campfire,Создает кострище
OL,Open the locks,Открывает замки
KL,Allows to keep liquid,Позволяет хранить жидкость
IJT,Empty jar,Пустая банка
IJD,"Located in chests, helps with the hike","Находится в сундуках, помогает в походе"
IDT,Antidote,Антидот
IDD,Nullifies the poison. It's bitter but you want to be alive much more,"Снимает яд общего вида, горькое, но жить захочешь больше"
ICT,Anticough,Антикашель
ICD,Merciless against cough,Безжалостно устраняет кашель
IST,Saksaul,Саксаул
ISD,A lit campfire scares the monsters away,Зажжённый костёр из веток хорошо отпугивает монстров
IGT,Golden key,Золотой ключик
IGD,Used to open the common locks,Отворяет запертые врата при использовании
IPKT,Purple key,Пурпурный ключ
IWT,Clean water,Чистая вода
IWD,Used to create water based liquid as ingridient,Используется для создания водных растворов. Ингредиент
ITT,Tea,Чай
ITD,Replenishes some aura,Немного восполняет ауру
IET,Ether,Эфир
IED,Replenishes some resource,Немного восполняет ресурс
IRT,Tamarisk,Тамариск
IRD,Used as ingredient for medicine fluids,Используется как ингридиент для лечебных отваров
IWT,Tumbleweed,Перекати-поле
IWD,Small-flowered catnip used to get some ether oil,Из котовника мелкоцветного добывают особые эфирные масла
IOT,Opuntia,Опунция
IOD,Helps with fever symptoms,Помогает при симптомах лихорадки
IYT,Yukka,Юкка
IYD,Remove cough symptoms with potato flavor,"Убирает симптомы кашля, с картофельным привкусом"
IUT,Butter,Масло
IUD,You can get sliding effect when grease the butter along the blade,"Смазывая клинки маслом, можно получить скользящий эффект"
IFT,Fire butter,Огненное масло
IFD,Best choice for the grill,Отличный выбор для гриля
IGT,The Grindstone,Точ. Камень
IGD,Main tool on the kitchen is a knife. Time to sharpen it before use,Главный инструмент на кухне - это нож и его надо хорошо наточить перед использованием
IMT,Pump,Помпа
IMD,Makes any crude shotgun to majestic winchester,Делает из неотесанного дробовика уточненный винчестер
ITT,"Tip, Metal","Наконечник, Металл"
ITD,"Seems to be, the games over for monsters","Похоже, что для монстров игры закончились"
IAT,"Aim, Metal","Прицел, Металл"
IAD,I see clearly who won't wash its limbs before the meal,"Через него хорошо видно, что кто-то не помыл конечности перед трапезой"
ILT,Cleaner,Очиститель
ILD,Clean all the dirt inside and outside,Вычищает всю грязь и налет внутри и снаружи орудий
IEAT,Extra ammo,Доп. Обойма
IEAD,If I had such accessory before I won't put my guns away,"Будь раньше у меня такая оснастка, я может и не расставался бы с пушками"
INT,"Pants, Leather","Штаны, Кожа"
IND,Made of whole leather part,Сделаны из цельного куска кожи
IVT,"Greaves, Leather","Поножи, Кожа"
IVD,Protects from any arrow aiming on the legs,Надежно защищает от попадания стрел
IHT,"Shoes, Leather","Ботинки, Кожа"
IHD,It will be problematic to go at heated,Без ботинок по раскаленным поверхностям перемещаться будет тяжеловато
IBT,"Boots, Leather","Сапоги, Кожа"
IBD,Very good to squeeze crawling vipers,В них очень приятно давить ползающих гадюк
IKT,"Jacket, Leather","Куртка, Кожа"
IKD,Covers back from sun heat,Прикрывает спину от палящего солнца
IPT,"Breastplate, Leather","Нагрудник, Кожа"
IPD,"Dense armor, protect from hits","Плотная броня, хорошо защищает от пробитий"
IIT,"Shield, Tin","Щит, Жесть"
IID,Defends from random hits with 1% chance,Защищает от внезапных ударов с 1% шансом
IWDT,Wisdom tooth,Зуб мудрости
IWDD,Increases your influence,Усиливает ваше влияние
IKDT,"KnuckleDuster, Bone","Кастет, Кость"
IKDD,Increases the punching power,Усиливает пробивающую силу удара
IKWT,"Knife, Worn","Нож, Потёртый"
IKWD,Time for a pie,Годится чтобы нарезать тортик
ISWT,"Sword, Wood","Меч, Дерево"
ISWD,Cut the costs again...,Снова сэкономили...
ISTT,"Sword, Toy","Меч, Игрушка"
ISTD,Simple toy?,Простая игрушка?
ICST,Colt Schofield-.45,Кольт Шофилд-.45
ICSD,"Simple, reliable revolver. Somehow looks like that from Dashing Semen","Простой, надежный револьвер. Чем-то похож на тот, что у Лихого Семёна"
IPTT,Pacifist,Пацифист
IPTD,The peace goes for a hard price,Мир достается крайне тяжелой ценой
ISHT,Shotgun,Дробовик
ISHD,Someone left it behind,Похоже кто-то обронил
IBMT,"Boomerang, Wood","Бумеранг, Дерево"
IBMD,"I warn you, that wooden blade isn't a toy",Осторожно - это деревянное лезвие не игрушка
IBST,Shoe,Тапок
IBSD,I think someone need to get whooped,"Чувствую, кому-то по одному наглому месту точно перепадёт"
